sp;type;y'(seq.);y(ind.);indTot;t (days);radioT(m);angT(rad);tr;tr_se;act;act_se;s(km/day);s_se(km/day);r(m);r_se(m);ang(rad);ang_se(rad);d(ind/km2);d_se(ind/km2);effort;distr
capcap;clust3x1_1;290;293;317;3279;17.8625226;0.39269925;0.089356511;0.012262219;0.396181808;0.058605415;9.32496382;0.942705142;5.553505499;0.4518491;0.785398499;0.000794872;1.946141337;0.353998266;0.98;not patched
capcap;clust3x1_2;299;303;327;3411;22.10756341;0.39269925;0.088830255;0.015420293;0.497120285;0.072251334;10.92405869;1.779907482;6.12389889;0.40094696;0.785398272;0.045502542;1.497653838;0.332308117;0.98;not patched
capcap;clust3x1_3;250;253;273;3322;18.67490547;0.39269925;0.07615894;0.01016363;0.456173158;0.069099492;13.08556197;1.647684464;5.135361171;0.47686228;0.785398272;0.029814;1.278262629;0.25994921;0.98;not patched
capcap;clust4;484;490;532;5983;19.1584784;0.39269925;0.081898713;0.009649952;0.513717554;0.059402462;10.19604;2.063881523;6.232989227;0.36899966;0.785398272;0.032774193;1.453488973;0.338256614;1.75;not patched
capcap;clust5;736;744;808;9032;18.01418032;0.39269925;0.082373782;0.007665922;0.443527542;0.047473604;8.660302032;1.1303292;5.166762493;0.297404234;0.785398499;0.00060953;2.076347338;0.335423834;2.53;not patched
capcap;clustrand3;305;309;335;3327;18.30840524;0.39269925;0.092876465;0.015591962;0.589574119;0.072747562;9.114255228;1.147132744;5.213795684;0.496664401;0.785398499;0.001487198;2.204413285;0.46262846;0.98;not patched
capcap;clustrand4;497;503;547;5968;17.74412247;0.39269925;0.084282842;0.009626673;0.453976029;0.056791094;7.942026274;0.793207423;5.115408654;0.336027133;0.785398272;0.028617795;2.339861158;0.358332074;1.75;not patched
capcap;lax;750;765;887;7655;19.84863334;0.39269925;0.099934683;0.009122424;0.512901298;0.038809507;13.22795684;1.379145248;5.923767313;0.213861828;0.785398272;0.023097099;1.438427743;0.202212061;2.53;not patched
capcap;laxrand3;321;330;386;3192;21.82375102;0.39269925;0.103383459;0.016765119;0.469864636;0.050058702;10.93419374;1.134860771;6.082350268;0.362036587;0.785398499;0.001426576;1.753296644;0.340441917;0.98;not patched
capcap;laxrand4;563;574;668;5822;18.99825082;0.39269925;0.098591549;0.011127653;0.513172785;0.040534023;12.14919196;1.870184807;5.911585559;0.233684386;0.785398272;0.025017291;1.548284937;0.293914127;1.75;not patched
capcap;laxsist3;292;295;346;3209;19.88455266;0.39269925;0.09192895;0.012092941;0.560877412;0.06012581;11.51758637;1.351231072;6.019728398;0.382424061;0.785398272;0.044049833;1.495465832;0.296997618;0.98;not patched
capcap;laxsist4;521;528;618;5738;21.24197107;0.39269925;0.092018125;0.010224544;0.536354464;0.047830709;13.43625792;1.843421484;5.360264828;0.262895114;0.785398272;0.026112651;1.44102452;0.255695201;1.75;not patched
cappyr;clust3x1_1;63;68;76;3279;23.4544111;0.39269925;0.02073803;0.00627081;0.423091081;0.091618016;12.0531044;2.700521309;8.396884849;0.624417616;0.785398272;0.045502494;0.224309658;0.086412141;0.98;patched
cappyr;clust3x1_2;52;55;58;3411;24.12150593;0.39269925;0.016124304;0.005913461;0.441818242;0.088700791;14.55557948;2.487833849;9.547625016;0.923672896;0.785398499;0.000936928;0.126104862;0.056505951;0.98;patched
cappyr;clust3x1_3;95;110;136;3322;15;0.39269925;0.033112583;0.009958464;0.462731373;0.086348317;11.97722382;1.773388854;6.175530097;0.449103683;0.785398272;0.045641706;0.504923077;0.208095272;0.98;patched
cappyr;clust4;158;177;203;5983;23.72713372;0.39269925;0.029583821;0.007370595;0.471907463;0.073090377;13.94367468;1.837024307;7.775907632;0.537958449;0.785398499;0.000510198;0.304265875;0.099795223;1.75;patched
